Positive Sentiment,Negative Sentiment,Objective Sentiment,Female Orientation,Male Orientation,Filename,Number of Words,Number of Paragraphs,Relative Punctuation,Average Words per Sentence,Unnamed: 0,Number of Sentences,Number of Dialogs,Number of Sentences with Dialogs,Number of Named People,Number of Named Places,Number of Named Organizations,filenames
0.07832560486439095,0.08981614291839919,0.8318582522172093,762.0,1855.0,pg29219.epub,70296,1735,0.1567372254466826,15.261832392531481,318,1736,1619.0,1254,206,55,13,pg29219.epub
0.07035037973142985,0.07990192502971374,0.8497476952388555,1449.0,3223.0,pg29274.epub,63358,956,0.1356261245620127,17.29203056768559,319,957,917.5,624,82,63,40,pg29274.epub
0.0693448491245241,0.0635856408992025,0.8670695099762733,899.0,2513.0,pg29315.epub,73269,2454,0.16997638837707627,13.895126114166509,320,2455,2267.0,2036,176,133,81,pg29315.epub
0.07206195875615858,0.07190742292851866,0.8560306183153209,1239.0,2268.0,pg29323.epub,82894,997,0.15595821169204044,32.24192921042396,321,998,1082.0,701,259,201,61,pg29323.epub
0.07257807300489166,0.07347414646534482,0.8539477805297659,5253.0,5870.0,pg29366.epub,136321,3462,0.14110078417851982,12.324473374920895,322,3463,3927.0,2477,106,50,40,pg29366.epub
0.05857079760996625,0.07879388461768372,0.8626353177723488,719.0,6452.0,pg29400.epub,101551,1263,0.11347007907356894,21.253871912934283,323,1264,948.5,794,136,148,55,pg29400.epub
0.06628850759665804,0.05204331795323672,0.8816681744501048,694.0,2275.0,pg29570.epub,51763,1218,0.14147170759036376,11.112709317303565,324,1219,1267.0,990,67,30,62,pg29570.epub
0.06627385809703065,0.07696619618093598,0.8567599457220327,1151.0,3906.0,pg29646.epub,69900,1230,0.09343347639484978,19.579831932773107,325,1231,807.0,473,52,15,5,pg29646.epub
0.07165262068660436,0.06382576755351975,0.8645216117598742,531.0,2476.0,pg29657.epub,59088,973,0.1177057947468183,15.050433010697914,326,974,1064.5,708,195,94,67,pg29657.epub
0.08070463315733667,0.08757624157254366,0.8317191252701196,2612.0,925.0,pg29671.epub,69433,2001,0.1568130427894517,14.614396969059145,327,2002,1537.0,1158,73,50,34,pg29671.epub
0.07387342033871831,0.07916835898981445,0.8469582206714671,2428.0,3713.0,pg29695.epub,90275,1900,0.10090279700913876,12.705840957072484,328,1901,1442.5,1010,87,71,31,pg29695.epub
0.06671431470428127,0.08340898365450948,0.8498767016412084,3280.0,3839.0,pg29697.epub,91282,2581,0.13249052387108082,13.113345783651777,329,2582,2000.0,1638,102,67,17,pg29697.epub
0.07578847389654504,0.08917032569131429,0.83504120041214,2267.0,1593.0,pg29699.epub,60372,943,0.146640826873385,15.713690786048932,330,944,1201.5,719,87,40,33,pg29699.epub
0.07609341632317973,0.07892216358491212,0.8449844200919069,1421.0,1772.0,pg29715.epub,58541,1277,0.13882578022240824,17.20276226858654,331,1278,1169.5,868,101,63,38,pg29715.epub
0.07972561524255042,0.07926369966897101,0.8410106850884808,1871.0,3857.0,pg29726.epub,107154,2739,0.1616645202232301,14.354186202277296,332,2740,2930.5,1986,292,157,48,pg29726.epub
0.07348264436815538,0.07807582897145443,0.8484415266603895,1153.0,817.0,pg29729.epub,39749,1377,0.1425696243930665,14.01586741889986,333,1378,840.0,811,92,54,33,pg29729.epub
0.0732057661281314,0.07046583734761483,0.8563283965242537,1477.0,3097.0,pg29743.epub,89522,1478,0.12945421237237775,21.42699856390617,334,1479,1369.0,933,172,158,101,pg29743.epub
0.07647167548008124,0.07616821877000321,0.8473601057499154,2762.0,2049.0,pg29753.epub,88974,1619,0.09284734866365454,16.51949498700334,335,1620,1386.0,1049,130,93,46,pg29753.epub
0.07935096784947891,0.08166751752313678,0.8389815146273836,1642.0,3099.0,pg29760.epub,70008,2022,0.1368986401554108,13.061194029850745,336,2023,1696.0,1375,170,78,40,pg29760.epub
0.08032990655959651,0.10243873946316008,0.8172313539772446,2961.0,2723.0,pg29766.epub,76683,1691,0.1239127316354342,14.531552018192155,337,1692,1362.5,1190,99,72,38,pg29766.epub
0.07223550924741759,0.0725138239363258,0.8552506668162569,356.0,890.0,pg29808.epub,18001,359,0.11682684295316928,15.038429406850462,338,360,305.5,220,31,37,21,pg29808.epub
